Allele,Code,Real Allele,Source:,,,,,,
BoLA-AW10,BoLA03166,BoLA-3*001:01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5759033/,,Threw out BoLA-T2C and H-2-Lq,,,,
BoLA-D18.4,BoLA03193,BoLA-1*023:01,,,,,,,
BoLA-HD6,BoLA03180,BoLA-6*013:01,,,,,,,
BoLA-JSP.1,BoLA03169,BoLA-3*002:01,,,,,,,
BoLA-T2a,BoLA02982,BoLA-2*012:01,,,,,,,
BoLA-T2b,BoLA03222,BoLA-6*041:01,,,,,,,
Gogo-B0101,NHP00183,Gogo-B*01:01:01:01,,,,,,,
H-2-Db,P01899,,,,,,,,
H-2-Dd,P01900,,,,,,,,
H-2-Kb,P01901,,,,,,,,
H-2-Kd,P01902,,,,,,,,
H-2-Kk,P04223,,,,,,,,
H-2-Ld,P01897,,,,,,,,
HLA-A01:01,HLA00001,,,,,,,,
HLA-A02:01,HLA00005,,,,,,,,
HLA-A02:02,HLA00007,,,,,,,,
HLA-A02:03,HLA00008,,,,,,,,
HLA-A02:04,HLA00009,,,,,,,,
HLA-A02:05,HLA00009,,,,,,,,
HLA-A02:06,HLA00011,,,,,,,,
HLA-A02:07,HLA00012,,,,,,,,
HLA-A02:10,HLA00015,,,,,,,,
HLA-A02:11,HLA00016,,,,,,,,
HLA-A02:12,HLA00017,,,,,,,,
HLA-A02:16,HLA00021,,,,,,,,
HLA-A02:17,HLA00023,,,,,,,,
HLA-A02:19,HLA00023,,,,,,,,
HLA-A02:50,HLA01431,,,,,,,,
HLA-A03:01,HLA00037,,,,,,,,
HLA-A03:02,HLA00040,,,,,,,,
HLA-A03:19,HLA02322,,,,,,,,
HLA-A11:01,HLA00043,,,,,,,,
HLA-A11:02,HLA00044,,,,,,,,
HLA-A23:01,HLA00048,,,,,,,,
HLA-A24:02,HLA00050,,,,,,,,
HLA-A24:03,HLA00053,,,,,,,,
HLA-A25:01,HLA00071,,,,,,,,
HLA-A26:01,HLA00073,,,,,,,,HLA-A02:16
HLA-A26:02,HLA00074,,,,,,,,HLA-A02:17
HLA-A26:03,HLA00075,,,,,,,,HLA-A02:19
HLA-A29:02,HLA00086,,,,,,,,HLA-A02:50
HLA-A30:01,HLA00089,,,,,,,,HLA-A03:01
HLA-A30:02,HLA00090,,,,,,,,HLA-A03:02
HLA-A31:01,HLA00097,,,,,,,,HLA-A03:19
HLA-A32:01,HLA00101,,,,,,,,HLA-A11:01
HLA-A32:07,HLA01463,,,,,,,,HLA-A11:02
HLA-A32:15,HLA02798,,,,,,,,HLA-A23:01
HLA-A33:01,HLA00104,,,,,,,,HLA-A24:02
HLA-A66:01,HLA00112,,,,,,,,HLA-A24:03
HLA-A68:01,HLA00115,,,,,,,,HLA-A25:01
HLA-A68:02,HLA00117,,,,,,,,HLA-A26:01
HLA-A68:23,HLA01652,,,,,,,,HLA-A26:02
HLA-A69:01,HLA00126,,,,,,,,HLA-A26:03
HLA-A74:01,HLA00127,,,,,,,,HLA-A29:02
HLA-A80:01,HLA00130,,,,,,,,HLA-A30:01
